text,drug,effect
Intravenous azithromycin-induced ototoxicity.,azithromycin,ototoxicity
"Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation.",dihydrotachysterol,increased calcium-release
Unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,dihydrotachysterol,hypercalcemia
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,naproxen,pseudoporphyria
METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,oxaprozin,pseudoporphyria
"Naproxen, the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating erythropoietic protoporphyria in the pediatric population.",Naproxen,erythropoietic protoporphyria
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,naproxen,cutaneous fragility
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,oxaprozin,cutaneous fragility
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,naproxen,tense bullae
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,oxaprozin,tense bullae
BACKGROUND: How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.,clozapine,granulocytopenia
CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.,clozapine,granulocytopenia
Prolonged severe 5-fluorouracil-associated neurotoxicity in a patient with dihydropyrimidine dehydrogenase deficiency.,5-fluorouracil,neurotoxicity
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,neurologic toxicity
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,prolonged myelosuppression
"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",5-FU,severe mucositis
"This case suggests that BH-AC, a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome.",BH-AC,encephalopathy syndrome
"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",BH-AC,encephalopathy syndrome
"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",idarubicin,encephalopathy syndrome
"In one case, the readministration of riluzole was followed by the relapse of hepatitis.",riluzole,hepatitis
"We report the cases of two patients who developed acute hepatitis after taking riluzole at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively.",riluzole,hepatitis
Lupus-like syndrome caused by 5-aminosalicylic acid in patients with inflammatory bowel disease.,5-aminosalicylic acid,Lupus-like syndrome
"Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.",lidocaine,methemoglobinemia
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,bupivacaine,Methemoglobinemia
Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,lidocaine,Methemoglobinemia
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,bupivacaine,methemoglobinemia
We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,lidocaine,methemoglobinemia
Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.,aspirin,asthma
An episode of subacute encephalopathy after the infusion of a moderate dose of methotrexate (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer.,methotrexate,encephalopathy
"We believe that this represents an unusual case of moderate-dose MTX-induced neurotoxicity in a patient with gastric cancer, which has not previously been reported.",MTX,neurotoxicity
We describe a life threatening side effect of acute epoprostenol infusion (pulmonary edema) in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology.,epoprostenol,pulmonary edema
A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,prednisone,pruritic bullous eruption
Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.,Hydroxyurea,acute interstitial pneumonitis
The clinical course suggests that the interstitial pneumonitis was induced by hydroxyurea.,hydroxyurea,interstitial pneumonitis
This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.,hydroxyurea,acute interstitial pneumonitis
Allergic and irritant contact dermatitis to calcipotriol.,calcipotriol,irritant contact dermatitis
"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",Calcipotriol,allergic reactions
"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",Calcipotriol,irritation of the skin
"The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an irritant type of reaction after treatment with calcipotriol.",calcipotriol,irritant type of reaction
Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.,pravastatin,Myotonia
Pravastatin is associated with myotonia in animals.,Pravastatin,myotonia
"This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.",pravastatin,myotonia
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,angioedema
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,systemic anaphylactoid reaction
"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",aspirin,urticaria
CONCLUSION: Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole.,omeprazole,eruption
Fixed drug eruption in hands caused by omeprazole.,omeprazole,eruption
The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.,omeprazole,eruption
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,diffuse erythema
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,fever up to 39 degrees C
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,malaise
"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",salazosulfapyridine,pustules
Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,salazosulfapyridine,Acute generalized exanthematous pustulosis
We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis.,salazosulfapyridine,acute generalized exanthematous pustulosis
CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230).,olanzapine,elevated serum CK concentration
"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.",Olanzapine,muscle injury with concomitant elevations of serum CK
Marked elevation of serum creatine kinase associated with olanzapine therapy.,olanzapine,elevation of serum creatine kinase
OBJECTIVE: To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.,olanzapine,elevation of serum creatine kinase
Diclofenac-associated hepatitis.,Diclofenac,hepatitis
"This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints.",diclofenac,hepatitis
"2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",2-CdA,lymphocytopenia
One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.,heparin,priapism
Priapism as a complication of heparin therapy.,heparin,Priapism
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,heparin,abnormal platelet aggregation
The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,heparin,priapism
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",clozapine,agranulocytosis
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",clozapine,neutropenia
"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).",clozapine,diurnal variation of the white blood cells
Acute neutrophilic dermatosis induced by all-trans-retinoic acid treatment for acute promyelocytic leukemia.,all-trans-retinoic acid,Acute neutrophilic dermatosis
Findings on discontinuation and rechallenge supported the assumption that the hair loss was a side effect of the paroxetine.,paroxetine,hair loss
Hair loss associated with paroxetine treatment: a case report.,paroxetine,Hair loss
We report on a 37-year-old female who complained of moderate hair loss during paroxetine treatment.,paroxetine,hair loss
"CONCLUSION: Patients with insulin allergy may not have complete resolution of their symptoms after standard desensitization, particularly those patients with concomitant protamine allergy.",insulin,protamine allergy
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,angioedema
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,angioedema
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,severe urticaria
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,severe urticaria
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,wheezing
"METHODS: The patient required insulin desensitization for severe urticaria, angioedema, and occasional wheezing resulting from her insulin dose.",insulin,wheezing
"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",insulin,allergic symptoms
"OBJECTIVE: The purpose of this study was to determine whether desensitization to NPH insulin, as well as standard insulin desensitization, could control allergic symptoms in a patient allergic to both NPH and regular insulin.",NPH insulin,allergic symptoms
Patients receiving neutral protamine Hagedorn (NPH) insulin are at increased risk for the development of protamine hypersensitivity.,neutral protamine Hagedorn (NPH) insulin,protamine hypersensitivity
Protamine allergy as a complication of insulin hypersensitivity: A case report.,insulin,Protamine allergy
She continued to receive regular insulin 4 times per day over the following 3 years with only occasional hives.,insulin,hives
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",insulin,angioedema
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",NPH,angioedema
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",insulin,urticaria
"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",NPH,urticaria
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,brimonidine,lethargic
A 5-month-old infant became lethargic and poorly responsive after receiving 1 drop of brimonidine in each eye.,brimonidine,poorly responsive
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,brimonidine,apneic
An 11-day-old infant became lethargic and apneic after a single drop of brimonidine.,brimonidine,lethargic
Apparent central nervous system depression in infants after the use of topical brimonidine.,brimonidine,central nervous system depression
CONCLUSIONS: Topical brimonidine may be associated with central nervous system depression in infants.,brimonidine,central nervous system depression
PURPOSE: To report two cases in which topical brimonidine resulted in apparent central nervous system depression and unresponsiveness in an infant.,brimonidine,central nervous system depression
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,ceftriaxone,elevated hepato-biliary enzymes
Ceftriaxone was approved in 1997 for the treatment of otitis media despite previous studies that documented an association of ceftriaxone with elevated hepato-biliary enzymes and transient biliary stasis.,ceftriaxone,transient biliary stasis
Hepato-biliary abnormalities secondary to ceftriaxone use: a case report.,ceftriaxone,Hepato-biliary abnormalities
Anterior lumbosacral radiculopathy after intrathecal methotrexate treatment.,methotrexate,Anterior lumbosacral radiculopathy
Reported are three children who developed progressive paraparesis after intrathecal methotrexate administration followed by complete or partial recovery.,methotrexate,progressive paraparesis
