doc1,doc2
gola,stitichezza
stomaco,tachicardia
naso,infiammazione
naso,stitichezza
naso,spasmi
radiografia,sondino
radiografia,anestesia
manometria,bario
gastroscopia,sondino
antibiotico,lansoprazolo
antibiotico,ranitidina
antibiotico,esomeprazolo
antibiotico,pantoprazolo
antibiotico,lucen
antibiotico,riopan
antibiotico,maalox
antibiotico,lansox
gastroprotettore,nifedicor gocce
acqua,reflusso
formaggio,reflusso
yogurt,reflusso
insalata,reflusso
camomilla,reflusso
tisana tisane,reflusso
carne bianca,reflusso
verdura,reflusso
malattia,stomaco
plastica,naso
respiro respirare,sonno
anestesia,sveglio
anestesia,gastroenterologo
acqua,cibo
acqua,mangiare
peristalsi,collo
cardias sfintere,gola
esofago,comune normale
disfagia,difficolta camminare
acido,salute sano
acido,bruciore
acido,rilassa
tecnica,sondino
metodo,radiografia
amae,ospedale
stanchezza,attento
nervoso,tranquillo
degenza,distanza
inibitori inbitore,febbre
camomilla,tachicardia
gelato,terribile
reflusso,sano
milano rozzano,costamagna
brescia,costamagna
padova,fumagalli
padova,familiari
padova,gigante
abano terme,fumagalli
abano terme,costamagna
bologna,costamagna
bologna,familiari
bologna,gigante
bologna,zaninotto
bologna,sarnelli
brescia,bonavina
ospedale padova,costamagna
ospedale padova,familiari
ospedale padova,gigante
humanitas,costantini
ospedale padova,salvador
humanitas,fumagalli
policlinico gemelli,brescia
humanitas,venezia
policlinico gemelli,heller dor
humanitas,heller dor
padova,poem
disfagia,petto
stitichezza,naso
dolore retrosternale,naso
infarto,collo
reflusso,stitichezza
reflusso,febbre
febbre,lansoprazolo
febbre,ranitidina
febbre,esomeprazolo
dolore,pantoprazolo
dolore,lucen
spasmi stomaco dolore,inibitori inibitore pompa protonica
febbre,riopan
dolore,plasil
dolore,maalox
dolore,lansox
febbre,buscopan
reflusso,contramal
reflusso,tachidol
nausea,gaviscon
soffocare,stomaco
disfagia,bruciore
dolore,digestione
dolore,stitichezza
lentamente bloccato,acidi
acidi,naso
bruciore,lentamente bloccato
spasmi,stomaco dolore
esofago,normale
poem,laparoscopica laparascopia
heller hellerdor dor,pneumatica palloncino
dilatazione dilatazioni,laparoscopica laparascopia
heller hellerdor dor,giappone
