doc1,doc2
cardias,esofago
cardias,muscolo
esofago,mucosa
muscolo,tessuto
narice,setto nasale
sfintere,esofago
sfintere,muscolo
sterno,torace
aorta,infiammazione
esofago,disfagia
esofago,diverticolo
esofago,esofagite
esofago,infiammazione
esofago,neurodegenerativo neurodegenerativa
gola,bruciore
intestino,stitichezza
intestino,virus
mandibola,dolore
mandibola,infarto
mascella,dolore
mascella,infarto
nervi nervo,nervoso
nervo,infiammazione
petto,spasmi
stomaco,bruciore
stomaco,ernia
stomaco,gastrite
stomaco,micosi
stomaco,pressione
gastroenterologia,gastroscopia
gastroscopia,endoscopia
gastroscopia,esofago
gastroscopia,esofagogastroduodenoscopia
gastroscopia,referto
manometria,alta risoluzione
manometria,naso
manometria,peristalsi
manometria,pressione
ph-metria,esame
ph-metria,manometria
radiografia,contrasto
scintigrafia,radiografia
sondino,naso
transito,bario
transito,radiografia
esomeprazolo,antiacido
lansoprazolo,antiacido
lansox,antiacido
lucen,antiacido
maalox,antiacido
nifedipine,gocce
pantoprazolo,antiacido
paracetamolo,antidolorifico
ranitidina,antiacido
ranitidina,antinfiammatorio
rilassa,nifedicor gocce
riopan,antiacido
alcool,reflusso
bibite,reflusso
birra,reflusso
limone,reflusso
pomodoro,reflusso
riso,blocco bloccato
vino,reflusso
amae,associazione
anestesia,sedazione
contattare,email
degenza,prericovero
esito,esami
gelato,semiliquido
malattia,autoimmune
malattia,rara
peristalsi,motilita
plastica,antireflusso
abano terme,ancona
abano terme,zaninotto
bologna,capizzi
brescia,fumagalli
milano rozzano,fumagalli
milano,penagini
napoli,sarnelli
padova,ancona
padova,costantini
padova,merigliano
padova,salvador
padova,savarino
padova,zaninotto
pisa,santi
roma,costamagna
roma,familiari
roma,gigante
rozzano,bonavina
san donato milanese,bonavina
gemelli,costamagna
gemelli,familiari
gemelli,gigante
humanitas,bonavina
humanitas,fumagalli
ospedale padova,costantini
ospedale padova,salvador
gemelli,roma
humanitas,milano
humanitas,rozzano
humanitas,san donato
gemelli,poem
humanitas,poem
padova,heller hellerdor dor
acido,gola
acido,stomaco
disfagia,esofago
dolore retrosternale,sterno
dolore,esofago
dolore,torace
infarto,petto
spasmi,esofago
stitichezza,intestino
pirosi,reflusso
reflusso,depressione
reflusso,stress
rigurgito,disfagia
stitichezza,anemia
stitichezza,stress
acidita,antiacido
acido acidita,pantoprazolo
bruciore bruciori stomaco,gaviscon
bruciore,inibitore della pompa protonica
bruciore,pantoprazolo
disfagia,miorilassante
dolore,analgesici
dolore,antidolorifico
dolore,contramal
dolore,ketorolac
dolore,paracetamolo
dolore,tachidol
gastrite,ranitidina
pirosi,pantoprazolo
reflusso,antiacido
reflusso,esomeprazolo
reflusso,inibitore della pompa protonica
reflusso,lansoprazolo
reflusso,lansox
reflusso,lucen
reflusso,maalox
reflusso,pantoprazolo
reflusso,plasil
reflusso,ranitidina
reflusso,riopan
spasmi stomaco dolore,buscopan
acido,bruciore
acido,succhi stomaco
bruciore,retrosternale retrosternali
cefalea,vertigine
disfagia,deglutizione
dolore,pasto
dolore,retrosternale
dolore,spasmi
esofago,dilatato
esofago,dilatato
esofago,mega
esofago,megaesofago
esofago,motilita
lentamente bloccato,gola
muscolo,motilita
nervoso,rabbia
pasto,bloccato
pasto,risale
peso,perso
rigurgito,bolo
rigurgito,deglutizione
soffocare,sterno respiro
dilatazione dilatazioni,pneumatica palloncino
heller hellerdor dor,laparoscopica laparascopia
poem,chirurgia
poem,endoscopia
poem,giappone
poem,metodo
poem,miotomia
poem,tecnica
