slang,phrase
+,più
+-,più o meno
+o-,più o meno
-,meno
abb,abbastanza
anke,anche
ank'io,anche io
bn,bene
c,ci
chissene,chi se ne frega
cm,come
cmq,comunque
cn,con
cs,così
d.,dottore
dm,domani
dmn,domani
doc,dottore
dot.,dottore
dot,dottore
dr.,dottore
dp,dopo
dr,dire
dx,destra
e',è
endo,endoscopia
es,esempio
frs,forse
gastro,gastroscopia
gg,giorno
grz,grazie
k,che
ke,che
ki,chi
kk,ok
laparo,laparoscopia
manom,manometria
midi,mi dispiace
mmt+,mi manchi tantissimo
nm,numero
nn,non
nr,numero
ns,nostro
num,numero
pf,prof
pfv,per favore
prob,problema
prox,prossima
qcn,qualcuno
qlk,qualche
qlk1,qualcuno
qls,qualcosa
qnd,quando
qndi,quindi
qnt,quanto
qs,questo
qst,questo
risp,rispondi
scs,scusa
sec,secondo
sett,settimana
sl,solo
smpr,sempre
sn,sono
sx,sinistra
sxo,spero
t,ti
tn,tanto
trnqi,tranquillo
trnqui,tranquillo
trp,troppo
tt,tutto
ttt,tutto
tvb,ti voglio bene
tvtb,ti voglio tanto bene
tvumdb,ti voglio un mondo di bene
v,vi
vlv,volevo
vs,vostro
x,per
xche,perchè
xchè,perchè
xciò,perciò
xè,perchè
xke,perchè
xkè,perchè
xo,però
xò,però
xsona,persona
