"damage_class","narr_cause"
"Substantial","The pilot failed to maintain directional control of the airplane and the runway selected resulted in a tailwind condition.  Factors associated  with the accident were the gusty crosswind and the snow bank."
"Substantial","The pilot's failure to maintain directional control on the runway.  Factors relating to this accident were the aborted takeoff attempt, the pilot's improper in-flight planning/decision, and  the snowbank."
"Destroyed","The failure of the student pilot to maintain adequate ground clearance while hovering."
"Substantial","The failure of the pilot to obtain assistance from the FBO in the form of a marshaller and failure of the pilot to maintain clearance resulting in the on-ground collision with the light pole."
"Substantial","The pilot's failure to maintain a proper glidepath during final approach.  A factor associated with the accident was soft terrain."
"Minor","Missing exhaust nozzle bolts for undetermined reasons.  A factor was inadequate maintenance inspection of the affected area."
"Substantial","the pilot's failure to maintain aircraft control during a landing attempt.  A contributing factor was his failure to check the snow conditions in the field before the flight."
"Substantial","The pilot's improper trim setting, which resulted in a runway overrun and impact with a fence."
"Substantial","The pilot's inadequate compensation for the crosswind conditions, which resulted in the airplane striking a snow bank during the landing flare/touchdown.  A factor was the crosswind weather condition."
"Substantial","Aircraft directional control not being maintained by the student pilot during the takeoff roll.  Factors to the accident were the snow bank and the student pilot's lack of total experience."
"Destroyed","The PIC's failure to follow safe operating procedures for the maintenance of the rotorcraft's external aerial application equipment,  resulting in inadvertent activation of collective as he egressed the rotorcraft,  causing unmanned flight, in-flight break-up, and collision with terrain."
"Substantial","The pilot's inadequate compensation for the winds.  A factor was the windshear."
"Substantial","The student pilot's inadequate compensation for a tailwind during final approach and her improper recovery from a bounced landing."
"Destroyed","Improper weather evaluation by both the pilot and pilot/passenger, and the pilot's inadvertent VFR flight into IMC resulting in his spatial disorientation. Factors were the pilot rated passenger's spatial disorientation, fog, and night conditions."
"Substantial","The pilot's failure to use carburetor heat prior to reducing engine power to idle while operating in serious carburetor icing conditions. Factors include serious carburetor icing conditions, and trees in the area where the pilot found it necessary to attempt a forced landing."
"Destroyed","The pilot's failure to maintain a proper climb rate to VFR conditions on-top."
"Substantial","the pilot's failure to maintain directional control during the forced landing on a gravel road.  Contributing factors were the pilot's delay in using carburetor heat and the loose gravel."
"Substantial","The loss of control on landing due to the student's improper recovery from a bounced landing, and the resulting nose over on the grass runway."
"Substantial","The flight instructor's improper decision to land downwind on the snow and ice covered runway with a tailwind, and his failure to perform a go-around.  Factors in the accident were the tailwind and the snow and ice on the runway."
"Substantial","The loss of engine power during a normal descent due to fuel starvation for undetermined reasons."
"Substantial","The failure of maintenance personnel to properly reconnect the aircraft's elevator control system, resulting in an in-flight disconnection of the elevator control and jamming of the rudder control during climb,  the subsequent in-flight loss of control, and terrain collision following an emergency descent and landing."
"Substantial","the pilot's failure to maintain proper runway alignment during landing.  Factors in the accident were the night lighting and the snow bank."
"Substantial","The pilot's failure to adequately compensate for wind conditions while taxiing the airplane."
"Destroyed","The pilot's failure to execute the published missed approach procedure.  A factor was heavy snowfall during the approach."
"Minor","fuel exhaustion during approach due to the pilot's failure to refuel."
"Substantial","the loss of engine power for undetermined reasons.  A contributing factor was the lack of suitable terrain for the forced landing."
"Substantial","The vehicle driver's inadvertent failure to place the column shifter into the parking gear.  A factor to the accident was the vehicle."
"Substantial","Fuel exhaustion due to the failure of the instructor to ensure there was sufficient fuel for the flight. Factors were the instructor's inadequate supervision of the student pilot, and the deep snow-covered terrain."
"Substantial","the loss of engine power during takeoff  resulting from the inadequate engagement of the throttle torque tube rod end into the support bushing by unknown maintenance personnel."
"Substantial","The failure of the pilot to conduct proper preflight planning, resulting in loss of engine power while in cruise flight due to fuel exhaustion, and the subsequent emergency descent and landing to an open field."
"Substantial","Pilot's failure to maintain aircraft control while landing.  Factors include a snow covered runway."
"Substantial","The unsuitable terrain for landing encountered by the pilot.  Factors included the loss of power for undetermined reasons and the rough terrain."
"None","the ingestion of ice/slush into both engines, which resulted in dual engine power fluctuations."
"Substantial","The pilot's improper fuel management in cruise flight that resulted in a loss of engine power, because of fuel starvation, and a collision with a fence during the subsequent forced landing."
"Substantial","the pilot's failure to maintain directional control.  Factors were the crosswind, the pilots lack of total experience,  and the snow covered terrain adjacent to the runway."
"Destroyed","The flight instructor's failure to ensure (supervision) the student had an adequate supply of fuel available, and the student's failure to refuel the aircraft sufficently resulting in a fuel starvation/exhaustion condition and total power loss.  Contributing factors were the trees and unsuitable terrain at the forced landing site."
"Destroyed","The pilot's inflight decision to continued visual flight into instrument meteorological conditions resulted in the inflight collision with trees. Low ceilings and trees were factors"
"Substantial","the loss of power to both engines for undetermined reasons during approach.  Contributing factors were the pilot's failure to properly position the fuel selector in accordance with the landing checklist and the lack of suitable terrain for the forced landing."
"Destroyed","The pilots decision not to fly to the alternate airport, his decision to continue the flight in known adverse weather conditions, spatial disorientation by the pilot, and his failure to maintain aircraft control.  Factors were the low ceilings, the dark night, the fog, and the trees."
"Destroyed","The pilot's misjudged clearance over an obstacle."
"Substantial","The pilot's inadequate visual lookout.  A factor was the dusk lighting conditions."
